"PBAT_BMP4","PBAT_BMP9","PBAT_BMP10","T3L1_BMP4","T3L1_BMP9","T3L1_BMP10"
NA,NA,NA,NA,"Mir22hg",NA
NA,NA,NA,NA,"Zfp703",NA
NA,NA,NA,NA,"Gm12764",NA
NA,NA,NA,NA,"Hotair",NA
NA,NA,NA,NA,"Gm11377",NA
NA,NA,NA,NA,"2610035D17Rik",NA
NA,NA,NA,NA,"Hotairm1",NA
NA,NA,NA,NA,"Pakap",NA
NA,NA,NA,NA,"Gm17110",NA
NA,NA,NA,NA,"Gcnt4",NA
NA,NA,NA,NA,"D030025P21Rik",NA
NA,NA,NA,NA,"Gm20544",NA
NA,NA,NA,NA,"Gm17501",NA
NA,NA,NA,NA,"Gm26532",NA
NA,NA,NA,NA,"Gm29374",NA
NA,NA,NA,NA,"Gm37352",NA
NA,NA,NA,NA,"Gm9484",NA
NA,NA,NA,NA,"9130604C24Rik",NA
NA,NA,NA,NA,"Gm44126",NA
NA,NA,NA,NA,"Gm5886",NA
NA,NA,NA,NA,"AV356131",NA
NA,NA,NA,NA,"Gm44837",NA
NA,NA,NA,NA,"2310043P16Rik",NA
NA,NA,NA,NA,"Gm45221",NA
NA,NA,NA,NA,"Gm45338",NA
NA,NA,NA,NA,"Gm45714",NA
NA,NA,NA,NA,"K230015D01Rik",NA
NA,NA,NA,NA,"Gm19385",NA
NA,NA,NA,NA,"Gm17746",NA
NA,NA,NA,NA,"Gm47826",NA
NA,NA,NA,NA,"Gm18787",NA
NA,NA,NA,NA,"Gm49891",NA
