tf,confidence,target,mor,likelihood
Adnp,D,Slc7a11,1,1
Adnp,D,Slc8b1,1,1
Adnp,D,Slco2b1,1,1
Adnp,D,Smarcc1,1,1
Adnp,D,Smurf1,1,1
Adnp,D,Smyd3,1,1
Adnp,D,Snupn,1,1
Adnp,D,Snx9,1,1
Adnp,D,Soga1,1,1
Adnp,D,Sox5,1,1
Adnp,D,Spc24,1,1
Adnp,D,Spint2,1,1
Adnp,D,Spocd1,1,1
Adnp,D,Sppl3,1,1
Adnp,D,Src,1,1
Adnp,D,Stk10,1,1
Adnp,D,Stx18,1,1
Adnp,D,Sult2b1,1,1
Adnp,D,Sycn,1,1
Adnp,D,Syn3,1,1
Adnp,D,Synj2,1,1
Adnp,D,Syt3,1,1
Adnp,D,Taf1b,1,1
Adnp,D,Taok3,1,1
Adnp,D,Tbxas1,1,1
Adnp,D,Tcf3,1,1
Adnp,D,Tesc,1,1
Adnp,D,Tgm2,1,1
Adnp,D,Tjp3,1,1
Adnp,D,Tle2,1,1
Adnp,D,Tlk1,1,1
Adnp,D,Tmc8,1,1
Adnp,D,Tmem119,1,1
Adnp,D,Tmem132b,1,1
Adnp,D,Tmem212,1,1
Adnp,D,Tmem40,1,1
Adnp,D,Tnfrsf1b,1,1
Adnp,D,Tpd52l1,1,1
Adnp,D,Trank1,1,1
Adnp,D,Trib1,1,1
Adnp,D,Trim41,1,1
Adnp,D,Trpv4,1,1
Adnp,D,Tshz2,1,1
Adnp,D,Tspan18,1,1
Adnp,D,Ttc39a,1,1
Adnp,D,Txnrd1,1,1
Adnp,D,Ube2f,1,1
Adnp,D,Ubr3,1,1
Adnp,D,Unc13a,1,1
Adnp,D,Utrn,1,1
Adnp,D,Vcl,1,1
Adnp,D,Vwce,1,1
Adnp,D,Wnt4,1,1
Adnp,D,Wscd2,1,1
Adnp,D,Xpr1,1,1
Adnp,D,Xxylt1,1,1
Adnp,D,Zdhhc14,1,1
Adnp,D,Zfp36l2,1,1
Adnp,D,Zmiz1,1,1
Adnp,D,Zmym4,1,1
Adnp,D,Zmynd8,1,1
Adnp,D,Zfp217,1,1
Adnp,D,Zfp618,1,1
Adnp2,E,Abl2,1,1
Adnp2,E,Adam17,1,1
Adnp2,E,Aff4,1,1
Adnp2,E,Agfg1,1,1
Adnp2,E,Alg9,1,1
Adnp2,E,Ankhd1,1,1
Adnp2,E,Ap1g1,1,1
Adnp2,E,Arel1,1,1
Adnp2,E,Arid2,1,1
Adnp2,E,Arih1,1,1
Adnp2,E,Arl5b,1,1
Adnp2,E,Atp13a3,1,1
Adnp2,E,Atxn1l,1,1
Adnp2,E,Atxn7,1,1
Adnp2,E,Avl9,1,1
Adnp2,E,Bard1,1,1
Adnp2,E,Bin3,1,1
Adnp2,E,Bloc1s6,1,1
Adnp2,E,Bmp2k,1,1
Adnp2,E,Bnip2,1,1
Adnp2,E,Brwd3,1,1
Adnp2,E,Btaf1,1,1
Adnp2,E,C9orf72,1,1
Adnp2,E,Cacul1,1,1
Adnp2,E,4933400A11Rik,1,1
Adnp2,E,Ccdc59,1,1
Adnp2,E,Ccdc9,1,1
Adnp2,E,Ccnh,1,1
Adnp2,E,Ccnl1,1,1
Adnp2,E,Ccnt1,1,1
Adnp2,E,Ccnt2,1,1
Adnp2,E,Cdk12,1,1
Adnp2,E,Cfap45,1,1
Adnp2,E,Chchd1,1,1
Adnp2,E,Chd1,1,1
Adnp2,E,Chd2,1,1
Adnp2,E,Chmp1b,1,1
Adnp2,E,Csnk1a1,1,1
Adnp2,E,Csnk2a1,1,1
Adnp2,E,Cul4a,1,1
Adnp2,E,Cwc25,1,1
Adnp2,E,Dbf4,1,1
